,Title,Year,Genre,Plot,Kind,Gross,lemmatized_Plot
410,Donsol,2006,Drama,"Donsol, a fishing town in Sorsogon province, serves as a sanctuary to a group of whale sharks, the largest fish in the world. Locally, known as butanding, whale sharks visit the waters of Donsol from November to May. In this film, Donsol is a place of refuge for the butanding but also a holding pen for lost and lonely people who wish for things they are no longer likely to get. Daniel, a Butanding Interaction Officer who accompanies tourists on whale watching expeditions and assists them in interacting with the sharks, is a broken hearted man who meets an older woman, Teresa, a widow fighting breast cancer. The two share their miseries and discover that they like being together. Will their newfound bond be strong or will it be blown along with the amihan wind which signals the end of the butanding migratory visit to the small town?Written bycinemalaya 2006",movie,,"['fishing', 'town', 'province', 'serve', 'sanctuary', 'group', 'whale', 'shark', 'large', 'fish', 'world', 'locally', 'know', 'butande', 'whale', 'shark', 'visit', 'water', 'donsol', 'november', 'film', 'donsol', 'place', 'refuge', 'butanding', 'also', 'hold', 'pen', 'lose', 'lonely', 'people', 'wish', 'thing', 'long', 'likely', 'get', 'butande', 'interaction', 'officer', 'accompany', 'tourist', 'whale', 'watch', 'expedition', 'assist', 'interact', 'shark', 'break', 'hearted', 'man', 'meet', 'old', 'woman', 'teresa', 'widow', 'fight', 'breast', 'cancer', 'share', 'misery', 'discover', 'together', 'newfound', 'bond', 'strong', 'blow', 'wind', 'signal', 'end', 'butande', 'migratory', 'visit', 'small', 'town']"
411,Markadong hudas,1993,"Action, Drama","Daniel Braganza (Cesar Montano) is the leading assassin of a big crime syndicate, a killer totally bereft of a conscience, thereby earning the nickname of Markadong Hudas. Unknown to the underworld, Daniel is only doing his job to earn big amounts of money to save the life of his young daughter who is very sick and needs expensive care.Written byctfabian",movie,,"['braganza', 'lead', 'assassin', 'big', 'killer', 'totally', 'bereft', 'conscience', 'thereby', 'earn', 'nickname', 'markadong', 'unknown', 'underworld', 'job', 'earn', 'big', 'amount', 'money', 'save', 'life', 'young', 'daughter', 'sick', 'need', 'expensive', 'care']"
412,Ang hapis at himagsik ni Hermano Puli,2016,History,"Apolinario dela Cruz, known as Hermano Puli, was shot and quartered on November 4,1841-three decades before the execution of the GOMBURZA. Among all of the Filipino heroes, Hermano Puli stands alone for leading the only revolt against the Spanish colonial government in the name of religious freedom. This film sheds light on one of the most fascinating, yet almost forgotten, figures in Philippine History.",movie,,"['know', 'hermano', 'shoot', 'quarter', 'november', 'decade', 'execution', 'gomburza', 'filipino', 'hero', 'puli', 'stand', 'alone', 'lead', 'revolt', 'spanish', 'colonial', 'government', 'name', 'religious', 'freedom', 'film', 'shed', 'light', 'fascinating', 'yet', 'almost', 'forget', 'figure', 'philippine', 'history']"
413,"Wedding tayo, wedding hindi!",2011,Comedy,"Two women are at very different stages of their love life. One is middle aged and looking for a way out of her marriage. The other is young, outgoing, and excited to get married to the love of her life. The two try to convince each other that their outlook is better, getting into all sorts of hijinks along the way.",movie,"$860,697","['woman', 'different', 'stage', 'love', 'life', 'middle', 'aged', 'look', 'way', 'marriage', 'young', 'outgoing', 'excited', 'get', 'marry', 'love', 'life', 'try', 'convince', 'outlook', 'well', 'get', 'sort', 'hijink']"
414,"Darna, Kuno...?",1979,"Action, Family, Fantasy","The real Darna (Brenda Del Rio) in the Darna, Kuno? storyline became pregnant. Based on the story, Darna was impregnated by the Japanese anime robots Voltes V and Mazinger Z. Because of the pregnancy someone had to take Darna's place temporarily as the superheroine until she had given birth. The original Darna lent her magical stone (the stone that transforms Narda, Darna's alter-ego, into Darna when swallowed and the name Darna is shouted aloud) to Dolphy who will become the male Darna dressed up in the female Darna costume. Dolphy as Darna or more specifically the Darna Pretender or replacement had to fight tikbalangs, aswangs, and other enemies. A female character, Annabel (Lotis Key), became the other Darna Kuno in the story. She stole the magical stone from Dolphy after finding out Darna Kuno's secret identity. Both male and female Darna Pretenders fought and defeated alien invaders. The true Darna returned to retrieve her magical stone carrying her baby who was already wearing a...Written byledster",movie,,"['real', 'darna', 'rio', 'darna', 'kuno', 'storyline', 'become', 'pregnant', 'base', 'story', 'darna', 'impregnate', 'japanese', 'anime', 'robot', 'volte', 'mazinger', 'z', 'pregnancy', 'take', 'darnas', 'place', 'temporarily', 'superheroine', 'give', 'birth', 'original', 'darna', 'lend', 'magical', 'stone', 'stone', 'transform', 'darnas', 'alterego', 'darna', 'swallow', 'name', 'darna', 'shout', 'aloud', 'dolphy', 'become', 'male', 'darna', 'dress', 'female', 'darna', 'costume', 'dolphy', 'darna', 'specifically', 'darna', 'pretender', 'replacement', 'fight', 'tikbalang', 'aswang', 'enemy', 'female', 'character', 'lotis', 'key', 'become', 'darna', 'kuno', 'story', 'steal', 'magical', 'stone', 'dolphy', 'find', 'secret', 'identity', 'male', 'female', 'darna', 'pretender', 'fight', 'defeat', 'alien', 'invader', 'true', 'darna', 'return', 'retrieve', 'magical', 'stone', 'carry', 'baby', 'already', 'wear']"
415,Meet Me Outside,2020,Romance,"Two young men, alone for the holidays for different reasons, gravitate towards each other on the day before Christmas after a conversation through the Blued app.",tv,,"['young', 'man', 'alone', 'holiday', 'different', 'reason', 'gravitate', 'day', 'christmas', 'conversation', 'blue', 'app']"
416,Unfaithful Wife,1986,"Crime, Drama","The film concerns the attempts of Fidel to resume a normal life after the devastation wrought by his wife's death. He returns to his old friend Crispin and wife Irene. A tentative effort with another woman fails, and Fidel finds himself in Irene's arms. That same evening a young girl is brutally murdered. Fidel, unable to account for his whereabouts, is named the principal suspect, which later leads to his imprisonment. Crispin, meanwhile, learns of Irene's infidelity; his friendship is put to the test when Fidel escapes, gets wounded, and asks Crispin to kill him and put him out of misery.Written byledster",movie,,"['film', 'concern', 'attempt', 'fidel', 'resume', 'normal', 'life', 'devastation', 'work', 'wifes', 'death', 'return', 'old', 'friend', 'wife', 'irene', 'tentative', 'effort', 'woman', 'fail', 'fidel', 'find', 'irene', 'arm', 'evening', 'young', 'girl', 'brutally', 'murder', 'fidel', 'unable', 'account', 'whereabouts', 'name', 'principal', 'suspect', 'later', 'lead', 'imprisonment', 'meanwhile', 'learn', 'irene', 'infidelity', 'friendship', 'put_t', 'fidel', 'escape', 'wound', 'ask', 'kill', 'put', 'misery']"
417,Ang tanging pamilya (A Marry-Go-Round!),2009,Comedy,"A young woman is happily surprised to find her long distance boyfriend in the country, with the intention of proposing to her. She accepts, and is looking forward to a happy life together. But the parents on both sides don't want to make it easy, putting all the wedding plans at risk as they wage war with each other.",movie,,"['young', 'woman', 'happily', 'surprise', 'find', 'long', 'distance', 'boyfriend', 'country', 'intention', 'propose', 'accept', 'look', 'forward', 'happy', 'life', 'together', 'parent', 'side', 'want', 'make', 'easy', 'put', 'wedding', 'plan', 'risk', 'wage', 'war']"
421,Unforgettable,2019,Drama,"Jasmine takes her newfound doggy friend Happy on a long journey to her sick grandmother in Baguio. The two walk an incredible distance, face all kinds of challenges, run into many strangers and help them along the way. Her grandmother had been ill once and then a dog helped her to recover - maybe this time Happy the one.Written byFAMASIYA",movie,"$35,788","['jasmine', 'take', 'newfound', 'doggy', 'friend', 'happy', 'long', 'journey', 'sick', 'grandmother', 'baguio', 'walk', 'incredible', 'distance', 'face', 'kind', 'challenge', 'run', 'many', 'stranger', 'help', 'grandmother', 'ill', 'dog', 'recover', 'maybe', 'time', 'happy']"
422,65th Miss Universe,2017,Family,"Miss Universe is an annual international beauty pageant that is run by the Miss Universe Organization. Along with its rival contests, Miss World and Miss Earth, this pageant is one of the most important and publicized beauty pageants in the world.",movie,,"['miss', 'universe', 'annual', 'international', 'beauty_pageant', 'run', 'miss', 'universe', 'organization', 'rival', 'contest', 'miss', 'world', 'miss', 'earth', 'pageant', 'important', 'publicize', 'beauty', 'pageant', 'world']"
423,Best. Partee. Ever.,2016,Drama,"Mikey, a young, discreet, gay man from the affluent class, spends five years in a city jail while hearing his case for drug pushing. Inside prison, Mikey holds back to adapt to the culture and stratification among inmates. Eventually, Mikey becomes a 'Mayor' (ring leader) to a group of gay inmates called ""Gang-da"". Together, they thrive to survive the dangers of several gang riots, the mundane, and the decay of human dignity.Written byanonymous",movie,,"['young', 'discreet', 'gay', 'man', 'affluent', 'class', 'spend', 'year', 'city', 'jail', 'hearing', 'case', 'drug', 'push', 'prison', 'mikey', 'hold', 'back', 'adapt', 'culture', 'stratification', 'inmate', 'eventually', 'become', 'mayor', 'ring', 'leader', 'group', 'gay', 'inmate', 'call', 'gangda', 'together', 'thrive', 'survive', 'danger', 'several', 'gang', 'riot', 'mundane', 'decay', 'human', 'dignity']"
425,Sinungaling mong puso,2016,Drama,"The story revolves around Clara, the abused wife of the womanizer Roman Aguirre who came from an influential political clan. Instead of giving in to the agony of her plight, she chooses to hope and remain resilient for the sake of her family. Until she accidentally meets jason, a man who will love her for real. However, he is ten years younger than her. He, like Clara, is unhappily married to Hannah who is pregnant with their child. In spite of their efforts to keep their rapport amicable, friendship draws them closer together resulting into a romance that then turns into a passionate love affair. But when their secret is discovered, it becomes the greatest threat to their lives.",tv,,"['story', 'clara', 'abuse', 'wife', 'womanizer', 'roman', 'aguirre', 'come', 'influential', 'political', 'clan', 'instead', 'give', 'agony', 'plight', 'choose', 'hope', 'remain', 'resilient', 'sake', 'family', 'accidentally', 'meet', 'jason', 'man', 'love', 'real', 'however', 'year', 'young', 'unhappily', 'marry', 'pregnant', 'child', 'spite', 'effort', 'keep', 'rapport', 'amicable', 'friendship', 'draw', 'close', 'together', 'result', 'romance', 'turn', 'passionate', 'love', 'affair', 'secret', 'discover', 'become', 'great', 'threat', 'life']"
426,Dang-Dong,1980,"Comedy, Family","A GIRL....A BOY....CREATED BY NATURE IN ONE BODY FIGHTING, LOVING ABD SHARING EACH OTHER.",movie,,"['girla', 'boycreate', 'nature', 'body', 'fight', 'love', 'abd', 'share']"
428,White Slavery,1985,Drama,Three poor girls from the provinces of the Philippines are lured to the big city. In Manila they are tricked to work in the sex trade.,movie,,"['poor', 'girl', 'province', 'philippine', 'lure', 'big', 'city', 'manila', 'trick', 'work', 'sex', 'trade']"
430,Ben X Jim,2020,Romance,"Benjamin lives alone, with his family living in America pressuring him to move there with him. He learns his old neighbor and childhood friend, Jimson, is moving back home to spend Enhanced Quarantine with his family. BenXJim follows the story of two people who turn from strangers, to friends, to lovers, back to strangers with memories.",tv,,"['benjamin', 'live', 'alone', 'family', 'live', 'america', 'pressure', 'move', 'learn', 'old', 'neighbor', 'move', 'back', 'home', 'spend', 'enhance', 'quarantine', 'family', 'benxjim', 'follow', 'story', 'people', 'turn', 'stranger', 'friend', 'lover', 'back', 'stranger', 'memory']"
431,Mundo mo'y akin,2013,Drama,"Childhood best friends Rodora and Perlita have always suffered from the incessant taunting and ridicule for their ugly features. While Perlita accepted these criticisms gracefully and is satisfied with her life, Rodora believed that there's no future and hope for unattractive people like them. Armed with her sheer determination, Rodora works under Doña Carmen, a rich but abusive old lady. When the old woman dies of heart attack, Rodora claims all her wealth and uses it to go under the knife for a new face. She completely put her past behind her and changes her name to Giselle. Meanwhile, Perlita is willing to love any man who will accept her entirely despite her physical flaw. This leads her to trust a foreign guy whom she believes loves her sincerely. But after one night, this guy dumps, and takes all her money. Left with no choice but to accept her fate, Perlita works as a maid in the mansion of the Carbonels. By some twist of fate, the paths of former friends Perlita and Rodora ...Written byAnonymous",tv,,"['childhood', 'perlita', 'always', 'suffer', 'incessant', 'taunt', 'ridicule', 'ugly', 'feature', 'perlita', 'accept', 'criticism', 'gracefully', 'satisfied', 'life', 'rodora', 'believe', 'there_s', 'future', 'hope', 'unattractive', 'people', 'armed', 'sheer', 'determination', 'rodora', 'work', 'doña', 'carmen', 'rich', 'abusive', 'old', 'lady', 'old', 'woman', 'die', 'heart', 'attack', 'rodora', 'claim', 'wealth', 'use', 'go', 'knife', 'new', 'face', 'completely', 'put', 'past', 'change', 'name', 'giselle', 'meanwhile', 'perlita', 'willing', 'love', 'man', 'accept', 'entirely', 'physical', 'flaw', 'lead', 'trust', 'foreign', 'guy', 'believe', 'love', 'sincerely', 'night', 'guy', 'dump', 'take', 'money', 'leave', 'choice', 'accept', 'fate', 'perlita', 'work', 'maid', 'mansion', 'carbonel', 'path', 'former', 'friend', 'perlita']"
